artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
my little airport,每次你走的時分,47,183968,0,0.576,0.505,11,-13.07,0,0.0392,0.753,0.199,0.151,0.57,127.025,4,cantopop
my little airport,下了兩天雨,44,172343,0,0.577,0.228,11,-14.684,1,0.0306,0.834,0.000805,0.384,0.161,119.035,4,cantopop
my little airport,詩歌舞街,50,191308,0,0.641,0.479,4,-15.395,1,0.0443,0.732,0.0598,0.115,0.301,121.974,4,cantopop
my little airport,那陣時不知道,48,148564,0,0.613,0.21,5,-15.309,1,0.0309,0.769,0.000477,0.139,0.268,132.035,4,cantopop
Eason Chan,無條件,54,228973,0,0.646,0.37,0,-10.98,1,0.0351,0.825,5.17e-06,0.09,0.465,129.914,4,cantopop
my little airport,QUEEN,46,163775,0,0.453,0.38,7,-13.896,1,0.0422,0.699,0.0136,0.145,0.396,178.211,4,cantopop
my little airport,麥記最後一夜,42,206825,0,0.544,0.389,0,-9.989,1,0.0348,0.778,0.202,0.109,0.457,144.979,3,cantopop
my little airport,九龍公園游泳池,42,159596,0,0.472,0.344,11,-8.849,1,0.0322,0.348,0.00032,0.0958,0.583,171.77,4,cantopop
my little airport,喫煙席,41,126211,0,0.569,0.261,0,-13.836,1,0.0362,0.76,0.000749,0.136,0.232,113.186,4,cantopop
MC 張天賦,老派約會之必要,66,223950,0,0.679,0.563,10,-7.009,1,0.0334,0.503,0.0,0.102,0.631,107.014,4,cantopop
my little airport,因講了出來,44,161032,0,0.606,0.361,9,-12.514,1,0.0299,0.597,0.000734,0.142,0.635,104.995,4,cantopop
my little airport,love disabled,42,164101,0,0.597,0.525,0,-10.269,1,0.0448,0.525,0.000411,0.112,0.638,113.928,4,cantopop
my little airport,宋代SAD BOY,41,173911,0,0.566,0.413,7,-13.556,1,0.0568,0.733,0.0599,0.0951,0.523,129.999,4,cantopop
my little airport,SABINA之淚,42,140892,0,0.551,0.346,5,-14.207,1,0.0329,0.601,0.0131,0.107,0.459,159.929,4,cantopop
my little airport,K同學,43,180781,0,0.629,0.257,8,-13.329,0,0.0442,0.861,1.26e-06,0.18,0.374,77.524,4,cantopop
my little airport,西湖沒有中秋,47,127760,0,0.616,0.211,9,-15.809,1,0.0287,0.759,0.0965,0.302,0.503,138.066,4,cantopop
Karen Mok,這世界那麼多人 - 電影《我要我們在一起》主題曲,57,285833,0,0.526,0.184,11,-12.648,1,0.0359,0.95,0.0,0.0778,0.237,143.567,4,cantopop
my little airport,驗孕的下晝,39,146979,0,0.672,0.351,7,-9.991,0,0.0368,0.744,0.0015,0.0791,0.721,85.28,4,cantopop
my little airport,德州之戀,47,163754,0,0.611,0.511,7,-12.077,0,0.0498,0.511,0.413,0.114,0.652,122.023,4,cantopop
my little airport,土瓜灣情歌,43,143360,0,0.315,0.411,0,-9.643,1,0.033,0.877,0.236,0.164,0.483,144.236,4,cantopop
Kay Tse,囍帖街,58,211720,0,0.612,0.491,0,-7.803,1,0.0295,0.792,0.0,0.127,0.492,125.912,4,cantopop
my little airport,八點零五分,44,152812,0,0.449,0.439,2,-11.719,0,0.0264,0.338,0.441,0.238,0.144,150.257,4,cantopop
my little airport,Hey Hey Baby,41,139186,0,0.581,0.457,9,-13.459,1,0.0327,0.383,0.00333,0.0999,0.67,89.983,4,cantopop
my little airport,某夜後台,45,174769,0,0.525,0.504,5,-11.539,0,0.0259,0.229,0.0333,0.128,0.555,80.002,4,cantopop
Ekin Cheng,I'll Have to Say I Love You in a Song,33,152666,0,0.535,0.681,9,-8.288,1,0.0272,0.822,0.00654,0.106,0.666,133.702,4,cantopop
my little airport,不要把冬天衫放回衣櫃,45,155513,0,0.39,0.629,9,-9.173,1,0.032,0.134,0.000115,0.108,0.404,177.003,4,cantopop
my little airport,循環的夜,47,145643,0,0.553,0.536,10,-10.174,1,0.0295,0.00199,0.419,0.0882,0.748,133.994,4,cantopop
my little airport,美麗新香港,42,117263,0,0.475,0.831,9,-8.519,1,0.0516,0.591,4.17e-05,0.201,0.812,151.581,4,cantopop
my little airport,憂傷的嫖客,40,118514,0,0.595,0.405,9,-9.945,1,0.0298,0.315,0.0426,0.108,0.464,108.051,4,cantopop
Faye Wong,如愿,56,265383,0,0.545,0.316,6,-9.449,0,0.0314,0.614,5.85e-06,0.0896,0.0978,132.882,4,cantopop
my little airport,我不適合聚會,44,127078,0,0.549,0.399,9,-11.795,0,0.0281,0.399,0.043,0.101,0.3,119.082,4,cantopop
Eason Chan,富士山下,56,259133,0,0.475,0.44,5,-10.48,1,0.0354,0.499,0.0,0.25,0.528,103.371,4,cantopop
Eason Chan,十年,61,205423,0,0.6,0.468,8,-9.126,1,0.0335,0.865,3.13e-06,0.104,0.203,123.987,4,cantopop
Eason Chan,孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,67,256000,0,0.615,0.535,8,-6.847,0,0.032,0.63,0.0,0.0907,0.293,130.025,4,cantopop
my little airport,每次你走的時分 - Live,42,171157,0,0.517,0.639,11,-10.189,0,0.0343,0.00255,0.000596,0.844,0.551,133.316,4,cantopop
Leo Ku,必殺技,55,232012,0,0.625,0.507,7,-8.294,1,0.0296,0.574,1.63e-06,0.0892,0.373,136.933,4,cantopop
Beyond,海闊天空,60,239506,0,0.311,0.311,5,-11.516,1,0.0323,0.69,0.0,0.195,0.369,76.951,4,cantopop
Kelly Chen,Love Paradise,51,196266,0,0.636,0.449,5,-6.358,1,0.0271,0.822,1.31e-06,0.151,0.301,80.008,4,cantopop
Eason Chan,單車,57,211251,0,0.635,0.35,7,-10.591,1,0.0284,0.754,0.0,0.0743,0.307,130.067,4,cantopop
William So,愛一個人好難,0,295960,0,0.545,0.526,11,-10.314,1,0.0462,0.702,0.0,0.151,0.329,78.192,4,cantopop
Jordan Chan,獨家記憶,0,307093,0,0.329,0.506,6,-7.967,1,0.0455,0.586,0.0,0.0841,0.488,159.602,4,cantopop
Kelly Chen,體會,0,265240,0,0.597,0.362,0,-9.809,1,0.0322,0.703,1.36e-05,0.0962,0.233,128.439,4,cantopop
Andy Hui,上弦月,0,225266,0,0.68,0.312,5,-10.804,1,0.0294,0.816,0.0,0.082,0.298,111.219,4,cantopop
Wilfred Lau,二等天使,4,222973,0,0.539,0.502,2,-7.801,1,0.0274,0.448,0.0,0.125,0.464,144.95,4,cantopop
Leslie Cheung,追 - 電影《金枝玉葉》歌曲,1,300760,0,0.541,0.388,0,-9.111,1,0.0252,0.421,4.09e-06,0.097,0.0597,95.22,4,cantopop
Leon Lai,夏日傾情,0,250453,0,0.629,0.438,10,-8.394,1,0.029,0.56,0.0,0.127,0.219,158.027,4,cantopop
Kelly Chen,她比我醜,0,224560,0,0.625,0.43,2,-7.717,1,0.0322,0.696,0.0,0.407,0.297,106.923,4,cantopop
Andy Hui;許慧欣,戀愛頻率,1,266893,0,0.431,0.697,1,-5.063,1,0.0535,0.49,0.0,0.167,0.446,201.9,4,cantopop
Kay Tse,脆弱,0,269146,0,0.54,0.545,5,-8.674,1,0.0369,0.103,0.0,0.328,0.431,144.584,4,cantopop
Beyond,無悔這一生 - 無綫電視劇「香港雲起時」主題曲,0,239426,0,0.619,0.472,7,-8.762,1,0.0304,0.629,0.0,0.174,0.272,132.041,4,cantopop
Juno Mak;Kay Tse,羅生門,50,262285,0,0.455,0.543,5,-7.164,1,0.0483,0.436,0.0,0.0648,0.253,140.118,4,cantopop
Dear Jane,人類不宜飛行,51,237000,0,0.445,0.783,7,-4.879,0,0.0317,0.245,0.0,0.144,0.347,135.981,4,cantopop
Eason Chan,好久不見,55,250493,0,0.312,0.242,0,-14.149,1,0.0327,0.772,0.00454,0.184,0.113,114.469,3,cantopop
Khalil Fong,特別的人,56,259079,0,0.563,0.488,11,-7.314,1,0.0349,0.332,0.0,0.187,0.262,139.987,4,cantopop
my little airport,今夜雪糕,40,147188,0,0.664,0.349,7,-13.727,0,0.032,0.619,0.32,0.217,0.462,120.987,4,cantopop
Beyond,光輝歲月,56,302733,0,0.628,0.494,4,-10.86,1,0.0384,0.767,0.0,0.32,0.472,148.165,4,cantopop
my little airport,獨身的理由,36,148128,0,0.591,0.456,11,-9.604,1,0.0449,0.738,0.1,0.373,0.518,124.012,4,cantopop
Candy Lo;Leehom Wang,好心分手,56,180226,0,0.734,0.536,11,-4.686,1,0.0318,0.601,0.0,0.1,0.591,114.036,4,cantopop
my little airport,只收一半,40,138672,0,0.604,0.31,0,-15.718,0,0.04,0.68,0.145,0.455,0.552,131.639,4,cantopop
my little airport,你說之後會找我,39,180906,0,0.558,0.275,0,-14.501,1,0.0309,0.849,0.000901,0.395,0.475,80.009,4,cantopop
my little airport,那陣時不知道,41,147188,0,0.588,0.228,5,-14.478,1,0.0306,0.813,0.000328,0.144,0.28,132.005,4,cantopop
